epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,2139.98,1.56997,2.35702,2.01068,0.41256,0.3522,0.34614,0.18258,1.88605,2.52479,2.49533,0.007624,0.007624,0.007624
26,2217.43,1.55225,2.32681,1.99041,0.45671,0.31493,0.34514,0.18348,1.87496,2.47693,2.49632,0.007525,0.007525,0.007525
27,2300.48,1.54453,2.28696,1.98784,0.41626,0.35546,0.36125,0.18864,1.86345,2.4951,2.46677,0.007426,0.007426,0.007426
28,2383.67,1.53928,2.24472,1.9765,0.50813,0.32727,0.36542,0.19073,1.87801,2.45448,2.48263,0.007327,0.007327,0.007327
29,2466.66,1.53876,2.24265,1.98196,0.38854,0.37126,0.3717,0.19946,1.89334,2.43687,2.498,0.007228,0.007228,0.007228
30,2549.61,1.52529,2.19727,1.96322,0.45504,0.34125,0.36991,0.19255,1.86125,2.36684,2.47163,0.007129,0.007129,0.007129
31,2632.55,1.52678,2.18957,1.96106,0.48304,0.361,0.3893,0.20164,1.86827,2.35243,2.48077,0.00703,0.00703,0.00703
32,2718.28,1.5177,2.16169,1.96335,0.44301,0.38003,0.37703,0.19633,1.89491,2.32352,2.50363,0.006931,0.006931,0.006931
33,2804.66,1.51493,2.13458,1.95101,0.41523,0.37698,0.39658,0.21197,1.85209,2.32882,2.46861,0.006832,0.006832,0.006832
34,2889.62,1.50618,2.09441,1.94248,0.44052,0.39419,0.40062,0.21214,1.86046,2.28337,2.47501,0.006733,0.006733,0.006733
35,2972.84,1.50181,2.08249,1.93487,0.49432,0.38779,0.40041,0.21134,1.86899,2.28595,2.47098,0.006634,0.006634,0.006634
36,3055.9,1.49155,2.05489,1.9207,0.46787,0.38868,0.40795,0.21501,1.86792,2.26428,2.46362,0.006535,0.006535,0.006535
37,3140.6,1.49353,2.05268,1.92923,0.43242,0.41372,0.41122,0.22208,1.85825,2.25165,2.4556,0.006436,0.006436,0.006436
38,3227.24,1.48595,2.02148,1.92206,0.48933,0.39012,0.40824,0.22487,1.84721,2.26512,2.45068,0.006337,0.006337,0.006337
39,3313.27,1.47832,2.01232,1.91637,0.4735,0.40193,0.42417,0.22698,1.85331,2.25603,2.44974,0.006238,0.006238,0.006238
40,3396.16,1.47123,1.97736,1.90589,0.48127,0.41225,0.43041,0.23769,1.83919,2.20876,2.44282,0.006139,0.006139,0.006139
41,3479.39,1.47262,1.97529,1.91419,0.48774,0.39548,0.44014,0.23256,1.86582,2.19346,2.46007,0.00604,0.00604,0.00604
42,3563.08,1.471,1.94444,1.91021,0.50664,0.40647,0.42737,0.2307,1.84019,2.17265,2.43746,0.005941,0.005941,0.005941
43,3648.24,1.4728,1.92702,1.90974,0.48994,0.40593,0.42891,0.2331,1.83191,2.18525,2.44379,0.005842,0.005842,0.005842
44,3732.34,1.45584,1.90296,1.89295,0.52839,0.38096,0.42661,0.23318,1.83778,2.18446,2.44832,0.005743,0.005743,0.005743
45,3815.74,1.44692,1.89259,1.88449,0.48763,0.39407,0.42742,0.23531,1.83327,2.16431,2.42815,0.005644,0.005644,0.005644
46,3898.94,1.45454,1.88203,1.88988,0.5346,0.39885,0.43269,0.23749,1.83944,2.16988,2.4499,0.005545,0.005545,0.005545
47,3982.46,1.43702,1.85932,1.87091,0.51423,0.41215,0.43467,0.23683,1.84389,2.14599,2.45268,0.005446,0.005446,0.005446
48,4065.34,1.44155,1.8429,1.87143,0.54984,0.40788,0.44651,0.24673,1.83362,2.10266,2.43569,0.005347,0.005347,0.005347
49,4147.95,1.43817,1.83811,1.87102,0.56705,0.39835,0.44682,0.23994,1.82751,2.1244,2.43428,0.005248,0.005248,0.005248
50,4231.34,1.43092,1.79988,1.86257,0.56002,0.3961,0.43667,0.24013,1.8213,2.14735,2.43651,0.005149,0.005149,0.005149
51,4314.02,1.4239,1.79465,1.86168,0.52382,0.41928,0.44427,0.24475,1.82263,2.0945,2.44274,0.00505,0.00505,0.00505
52,4396.84,1.41815,1.78308,1.86275,0.54663,0.40138,0.44989,0.24881,1.81884,2.10017,2.44126,0.004951,0.004951,0.004951
53,4479.37,1.42639,1.77556,1.85822,0.56726,0.39722,0.45473,0.25194,1.83279,2.0989,2.4357,0.004852,0.004852,0.004852
54,4562.18,1.41797,1.75893,1.85469,0.55527,0.39764,0.45513,0.25056,1.82781,2.10552,2.44522,0.004753,0.004753,0.004753
55,4645,1.40327,1.70665,1.83837,0.57523,0.3975,0.46313,0.26053,1.82765,2.08889,2.43644,0.004654,0.004654,0.004654
56,4727.7,1.40076,1.6987,1.8371,0.53438,0.41812,0.45858,0.2542,1.82809,2.08135,2.44976,0.004555,0.004555,0.004555
57,4810.63,1.39002,1.69497,1.83232,0.58238,0.39199,0.46614,0.26083,1.82285,2.07486,2.44533,0.004456,0.004456,0.004456
58,4893.37,1.38951,1.68477,1.82927,0.54446,0.43064,0.4661,0.25734,1.83009,2.06727,2.44197,0.004357,0.004357,0.004357
59,4975.76,1.39363,1.70021,1.8328,0.59869,0.39639,0.46425,0.25564,1.81664,2.06746,2.44293,0.004258,0.004258,0.004258
60,5059.52,1.37981,1.66183,1.81887,0.62053,0.39369,0.46688,0.25351,1.82523,2.05415,2.4455,0.004159,0.004159,0.004159
61,5145.87,1.37809,1.64133,1.8174,0.57597,0.41306,0.47276,0.25846,1.82756,2.06068,2.44812,0.00406,0.00406,0.00406
62,5232.08,1.37413,1.63613,1.81653,0.60609,0.40195,0.47193,0.25922,1.82195,2.04574,2.4558,0.003961,0.003961,0.003961
63,5316.42,1.36365,1.6257,1.81186,0.58421,0.42188,0.47353,0.26039,1.82039,2.04673,2.44874,0.003862,0.003862,0.003862
64,5400.35,1.36629,1.61794,1.80633,0.57675,0.42877,0.47627,0.26055,1.81837,2.03056,2.44794,0.003763,0.003763,0.003763
65,5484.61,1.36083,1.6071,1.80656,0.5539,0.42214,0.47412,0.26064,1.81721,2.0421,2.44519,0.003664,0.003664,0.003664
66,5568.86,1.35194,1.58786,1.79256,0.55595,0.43861,0.47926,0.26349,1.81112,2.03933,2.44214,0.003565,0.003565,0.003565
67,5655.01,1.34755,1.57289,1.78552,0.59756,0.41061,0.47093,0.25906,1.81634,2.05424,2.45121,0.003466,0.003466,0.003466
68,5742.22,1.33745,1.5656,1.78202,0.56531,0.41295,0.47633,0.25976,1.81661,2.03853,2.44863,0.003367,0.003367,0.003367
69,5826.08,1.33512,1.55133,1.77549,0.60124,0.40267,0.48056,0.26384,1.81667,2.02986,2.44287,0.003268,0.003268,0.003268
70,5910.38,1.33652,1.55274,1.77678,0.57068,0.42599,0.47741,0.25991,1.81187,2.03501,2.44078,0.003169,0.003169,0.003169
71,5994.36,1.32537,1.52786,1.76549,0.59791,0.42459,0.48034,0.26243,1.80506,2.01942,2.43739,0.00307,0.00307,0.00307
72,6078.28,1.31769,1.5138,1.76182,0.57287,0.42349,0.48201,0.26472,1.79912,2.02027,2.43496,0.002971,0.002971,0.002971
73,6162.53,1.31477,1.49578,1.75938,0.57225,0.43016,0.4814,0.26541,1.80876,2.0213,2.44178,0.002872,0.002872,0.002872
74,6248.6,1.31299,1.51259,1.75775,0.55352,0.45108,0.4863,0.26778,1.80314,2.00955,2.43789,0.002773,0.002773,0.002773
75,6333.14,1.30404,1.5006,1.75471,0.5508,0.45557,0.49011,0.26839,1.81391,2.01192,2.45061,0.002674,0.002674,0.002674
76,6417.59,1.30275,1.48545,1.75217,0.56872,0.45107,0.48399,0.26347,1.80852,2.01081,2.44759,0.002575,0.002575,0.002575
77,6504.32,1.3077,1.48553,1.75673,0.52279,0.448,0.4864,0.26363,1.80223,2.00113,2.43504,0.002476,0.002476,0.002476
78,6588.99,1.29475,1.45764,1.73909,0.53791,0.46093,0.48592,0.26803,1.79612,2.00296,2.42906,0.002377,0.002377,0.002377
79,6673.84,1.29354,1.46139,1.74286,0.53401,0.47427,0.48794,0.26835,1.79938,2.0101,2.43672,0.002278,0.002278,0.002278
80,6758.66,1.29518,1.44725,1.74028,0.55591,0.46118,0.48504,0.2668,1.79562,2.01317,2.44007,0.002179,0.002179,0.002179
81,6843.1,1.28208,1.42582,1.73608,0.56317,0.46054,0.49194,0.27084,1.79785,2.01353,2.44376,0.00208,0.00208,0.00208
82,6927.35,1.27172,1.42687,1.72362,0.56547,0.44708,0.48779,0.26759,1.80105,2.0139,2.44879,0.001981,0.001981,0.001981
83,7011.61,1.26469,1.42399,1.72244,0.55343,0.45288,0.48436,0.26383,1.79887,2.01556,2.45169,0.001882,0.001882,0.001882
84,7095.86,1.26474,1.41778,1.72354,0.53519,0.44962,0.47962,0.26273,1.79623,2.0152,2.45044,0.001783,0.001783,0.001783
85,7180.21,1.26764,1.39678,1.71797,0.57039,0.43344,0.47965,0.25974,1.79415,2.01507,2.44548,0.001684,0.001684,0.001684
86,7265.29,1.26919,1.40485,1.72111,0.58052,0.4382,0.48585,0.26634,1.79598,2.01881,2.44607,0.001585,0.001585,0.001585
87,7354.28,1.26054,1.39886,1.71033,0.57937,0.43924,0.48123,0.26236,1.79848,2.01428,2.44883,0.001486,0.001486,0.001486
88,7447,1.24443,1.38076,1.70162,0.58537,0.43799,0.48667,0.26648,1.79886,2.01084,2.44938,0.001387,0.001387,0.001387
89,7532.82,1.24426,1.36096,1.69518,0.6056,0.42651,0.48976,0.26701,1.80084,2.00884,2.45299,0.001288,0.001288,0.001288
90,7616.51,1.23987,1.36449,1.69929,0.59089,0.42785,0.48874,0.26593,1.80272,2.00906,2.45539,0.001189,0.001189,0.001189
91,7720.51,1.17934,1.12651,1.79394,0.60684,0.42801,0.48516,0.2644,1.80075,1.99919,2.45357,0.00109,0.00109,0.00109
92,7802.79,1.15498,1.06229,1.77536,0.58431,0.43897,0.48795,0.26658,1.79678,1.99647,2.45467,0.000991,0.000991,0.000991
93,7885.37,1.14089,1.03663,1.766,0.57862,0.44915,0.4862,0.26735,1.7964,1.99914,2.46009,0.000892,0.000892,0.000892
94,7968.19,1.12804,1.02022,1.75076,0.57795,0.45407,0.48734,0.26849,1.79554,1.99899,2.46506,0.000793,0.000793,0.000793
95,8053.14,1.11951,1.01302,1.73666,0.57638,0.45754,0.48738,0.26877,1.79447,1.99805,2.46705,0.000694,0.000694,0.000694
96,8136.38,1.10611,0.98689,1.73304,0.57569,0.46317,0.48834,0.26975,1.79226,1.99747,2.46989,0.000595,0.000595,0.000595
97,8219.08,1.09692,0.98296,1.72279,0.5782,0.46441,0.48761,0.26872,1.79009,1.99808,2.47354,0.000496,0.000496,0.000496
98,8303.16,1.09265,0.97106,1.71966,0.57905,0.46589,0.48767,0.2695,1.78909,1.99635,2.47715,0.000397,0.000397,0.000397
99,8385.87,1.0887,0.96256,1.70853,0.57855,0.46858,0.48852,0.26986,1.78998,1.99663,2.48267,0.000298,0.000298,0.000298
100,8469.01,1.07355,0.96415,1.69951,0.56686,0.47211,0.48836,0.26941,1.79073,1.99767,2.48713,0.000199,0.000199,0.000199
