epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.761,3.19193,5.86497,4.13706,0.00079,0.00774,0.00074,0.00021,2.82079,5.06527,3.88342,0.00332695,0.00332695,0.00332695
2,191.28,2.54065,5.22319,3.2541,0.00533,0.22444,0.00831,0.00259,2.29288,4.26031,3.10526,0.00659434,0.00659434,0.00659434
3,278.915,1.97093,4.50471,2.59535,0.39382,0.06957,0.03382,0.01374,2.11424,4.23104,2.84493,0.00979574,0.00979574,0.00979574
4,366.158,1.82286,4.16365,2.40316,0.36416,0.10138,0.06958,0.03537,1.99517,3.61516,2.69415,0.009703,0.009703,0.009703
5,452.49,1.76014,3.85927,2.30315,0.46812,0.13414,0.10271,0.05144,2.00417,3.52355,2.66001,0.009604,0.009604,0.009604
6,537.679,1.73516,3.62894,2.25536,0.35016,0.17444,0.13361,0.06881,1.96525,3.38535,2.63674,0.009505,0.009505,0.009505
7,623.525,1.70756,3.42497,2.21548,0.33928,0.1777,0.14666,0.06852,1.98557,3.19994,2.62384,0.009406,0.009406,0.009406
8,708.936,1.68679,3.28233,2.19223,0.39874,0.2052,0.17827,0.08962,1.95724,3.22162,2.5967,0.009307,0.009307,0.009307
9,794.727,1.67514,3.17541,2.17096,0.38777,0.18195,0.16836,0.08152,1.94276,3.19505,2.60899,0.009208,0.009208,0.009208
10,881.177,1.66818,3.06605,2.15061,0.36607,0.22392,0.18827,0.09644,1.94726,3.0389,2.60026,0.009109,0.009109,0.009109
11,967.264,1.66067,2.98438,2.13027,0.38265,0.23814,0.22169,0.10887,1.95484,2.99633,2.58184,0.00901,0.00901,0.00901
12,1053.24,1.6488,2.89974,2.12029,0.40763,0.22882,0.21721,0.10957,1.93865,2.89189,2.55782,0.008911,0.008911,0.008911
13,1138.87,1.63869,2.84946,2.10408,0.375,0.26187,0.24725,0.11803,1.91965,2.93249,2.57841,0.008812,0.008812,0.008812
14,1223.97,1.63371,2.78563,2.1007,0.38124,0.24137,0.2339,0.12032,1.91964,2.83871,2.56369,0.008713,0.008713,0.008713
15,1302.37,1.61951,2.75024,2.08667,0.38943,0.26328,0.26963,0.14298,1.8851,2.82231,2.57744,0.008614,0.008614,0.008614
16,1381.09,1.61948,2.70646,2.08536,0.32271,0.30175,0.27669,0.14891,1.91141,2.7356,2.5703,0.008515,0.008515,0.008515
17,1466.73,1.61002,2.65841,2.06996,0.3451,0.29805,0.27355,0.13908,1.92567,2.72748,2.55412,0.008416,0.008416,0.008416
18,1552.06,1.60261,2.60749,2.05654,0.35467,0.32915,0.28856,0.14391,1.90706,2.66689,2.5363,0.008317,0.008317,0.008317
19,1637.27,1.58853,2.56233,2.04343,0.34124,0.35927,0.3001,0.15512,1.90189,2.58002,2.5572,0.008218,0.008218,0.008218
20,1722.6,1.582,2.53321,2.02999,0.39933,0.29177,0.29891,0.15157,1.92671,2.60613,2.5444,0.008119,0.008119,0.008119
21,1808.02,1.57578,2.48626,2.022,0.3998,0.32756,0.32324,0.16252,1.88153,2.59968,2.50975,0.00802,0.00802,0.00802
22,1892.95,1.58363,2.46863,2.02679,0.40458,0.29676,0.30254,0.15191,1.9067,2.56735,2.49678,0.007921,0.007921,0.007921
23,1975.81,1.56653,2.40835,2.00928,0.42109,0.341,0.3322,0.1742,1.91733,2.5486,2.51262,0.007822,0.007822,0.007822
24,2058.36,1.56727,2.38661,2.00023,0.51209,0.28043,0.30946,0.15983,1.91763,2.50412,2.49972,0.007723,0.007723,0.007723
