식품명,식품대분류명,kcal,protein_g,fat_g,carb_g,sodium_mg,water_g,ash_g,sugar_g,dietary_fiber_g,calcium_mg,iron_mg,phosphorus_mg,potassium_mg,cholesterol_mg,saturated_fat_g,trans_fat_g,alpha_linolenic_acid_g,linoleic_acid_g,omega3_g,omega6_g,oleic_acid_mg
피자_땡초참치마요 피자 (L),빵 및 과자류,254.0,11.2,0.0,0.0,393.0,0.0,0.0,6.529999999999999,0.0,0.0,0.0,0.0,0.0,0.0,3.46,0.0,0.0,0.0,0.0,0.0,0.0
피자_떡갈비 피자,빵 및 과자류,264.0,12.73,0.0,0.0,441.0,0.0,0.0,2.57,0.0,0.0,0.0,0.0,0.0,0.0,4.92,0.0,0.0,0.0,0.0,0.0,0.0
피자_떡갈비 피자 (L),빵 및 과자류,307.0,12.615,6.465,15.865000000000002,393.5,0.0,0.0,4.26,0.0,0.0,0.0,0.0,0.0,14.154999999999998,3.01,0.085,0.0,0.0,0.0,0.0,0.0
피자_떡갈비 피자 (XL),빵 및 과자류,263.0,17.2,0.0,0.0,406.0,0.0,0.0,4.52,0.0,0.0,0.0,0.0,0.0,0.0,4.9350000000000005,0.0,0.0,0.0,0.0,0.0,0.0
피자_라구미트볼 시카고 피자,빵 및 과자류,250.0,14.37,0.0,0.0,399.0,0.0,0.0,4.79,0.0,0.0,0.0,0.0,0.0,0.0,3.5900000000000003,0.0,0.0,0.0,0.0,0.0,0.0
피자_라자냐 시카고 피자,빵 및 과자류,257.0,12.960000000000003,11.73,25.929999999999996,378.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0,0.0,4.32,0.19,0.0,0.0,0.0,0.0,0.0
피자_라코타스테이크 피자 오리지널,빵 및 과자류,265.0,11.11,13.51,18.42,250.0,0.0,0.0,4.63,0.0,0.0,0.0,0.0,0.0,40.23,5.56,0.0,0.0,0.0,0.0,0.0,0.0
피자_랍스타 피자 라이스골드 (F),빵 및 과자류,245.00000000000003,15.329999999999998,0.0,0.0,206.99999999999997,0.0,0.0,3.92,0.0,0.0,0.0,0.0,0.0,0.0,3.73,0.0,0.0,0.0,0.0,0.0,0.0
피자_랍스타 피자 라이스골드 (L),빵 및 과자류,259.0,15.1,0.0,0.0,193.0,0.0,0.0,3.05,0.0,0.0,0.0,0.0,0.0,0.0,4.28,0.0,0.0,0.0,0.0,0.0,0.0
피자_랍스타 피자 라이스골드 (R),빵 및 과자류,267.0,15.65,0.0,0.0,186.0,0.0,0.0,2.93,0.0,0.0,0.0,0.0,0.0,0.0,4.33,0.0,0.0,0.0,0.0,0.0,0.0
피자_랍스타 피자 라이스바이트 (F),빵 및 과자류,252.99999999999997,14.35,0.0,0.0,250.0,0.0,0.0,3.29,0.0,0.0,0.0,0.0,0.0,0.0,3.46,0.0,0.0,0.0,0.0,0.0,0.0
피자_랍스타 피자 백미떡도우 (L),빵 및 과자류,178.0,8.8,0.0,0.0,221.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0,0.0,0.0,2.14,0.0,0.0,0.0,0.0,0.0,0.0
피자_랍스타 피자 석쇠 (F),빵 및 과자류,245.00000000000003,14.81,0.0,0.0,227.99999999999997,0.0,0.0,3.81,0.0,0.0,0.0,0.0,0.0,0.0,2.26,0.0,0.0,0.0,0.0,0.0,0.0
피자_랍스타 피자 석쇠 (L),빵 및 과자류,249.00000000000003,14.97,0.0,0.0,225.99999999999997,0.0,0.0,3.7800000000000002,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0
피자_랍스타 피자 석쇠 (R),빵 및 과자류,252.0,15.07,0.0,0.0,225.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,2.23,0.0,0.0,0.0,0.0,0.0,0.0
피자_랍스타 피자 치즈크러스트 (F),빵 및 과자류,247.00000000000003,15.39,0.0,0.0,227.0,0.0,0.0,3.46,0.0,0.0,0.0,0.0,0.0,0.0,3.08,0.0,0.0,0.0,0.0,0.0,0.0
피자_랍스타 피자 치즈크러스트 (L),빵 및 과자류,258.0,15.879999999999999,0.0,0.0,213.0,0.0,0.0,3.37,0.0,0.0,0.0,0.0,0.0,0.0,3.06,0.0,0.0,0.0,0.0,0.0,0.0
피자_랍스타 피자 치즈크러스트 (R),빵 및 과자류,267.0,16.35,0.0,0.0,202.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,3.2400000000000007,0.0,0.0,0.0,0.0,0.0,0.0
피자_랍스타 피자 팬 (F),빵 및 과자류,252.99999999999997,15.09,0.0,0.0,216.0,0.0,0.0,3.7800000000000002,0.0,0.0,0.0,0.0,0.0,0.0,2.15,0.0,0.0,0.0,0.0,0.0,0.0
피자_랍스타 피자 팬 (L),빵 및 과자류,256.0,15.25,0.0,0.0,217.0,0.0,0.0,3.7800000000000002,0.0,0.0,0.0,0.0,0.0,0.0,2.17,0.0,0.0,0.0,0.0,0.0,0.0
피자_랍스타 피자 팬 (R),빵 및 과자류,258.0,15.289999999999997,0.0,0.0,215.0,0.0,0.0,3.73,0.0,0.0,0.0,0.0,0.0,0.0,2.13,0.0,0.0,0.0,0.0,0.0,0.0
피자_랍스타미트 피자,빵 및 과자류,240.0,12.28,0.0,0.0,438.99999999999994,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.76,0.0,0.0,0.0,0.0,0.0,0.0
피자_레드불고기 피자 (L),빵 및 과자류,241.0,11.8,6.6000000000000005,24.55,501.0,0.0,0.0,7.3,0.0,0.0,0.0,0.0,0.0,18.44,3.54,0.16,0.0,0.0,0.0,0.0,0.0
피자_레드핫치킨 피자,빵 및 과자류,237.0,13.94,0.0,0.0,415.00000000000006,0.0,0.0,4.71,0.0,0.0,0.0,0.0,0.0,0.0,3.94,0.0,0.0,0.0,0.0,0.0,0.0
피자_레드핫치킨 피자 (L),빵 및 과자류,249.00000000000003,13.01,0.0,0.0,355.0,0.0,0.0,4.79,0.0,0.0,0.0,0.0,0.0,0.0,3.42,0.0,0.0,0.0,0.0,0.0,0.0
