epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5382.51,1.17504,1.33235,1.61502,0.75503,0.73867,0.80088,0.54481,1.1858,1.04011,1.63137,0.007228,0.007228,0.007228
44,5506.87,1.16891,1.30963,1.60181,0.78223,0.70673,0.80101,0.5463,1.1847,1.04212,1.62215,0.007162,0.007162,0.007162
45,5630.9,1.16503,1.3101,1.60048,0.75217,0.7142,0.78858,0.53384,1.16773,1.06396,1.61147,0.007096,0.007096,0.007096
46,5755.39,1.16006,1.28914,1.594,0.78842,0.71676,0.80132,0.54971,1.16687,1.02483,1.60953,0.00703,0.00703,0.00703
47,5879.18,1.1603,1.28019,1.5951,0.73803,0.73477,0.79788,0.54442,1.16671,1.05566,1.60962,0.006964,0.006964,0.006964
48,6003.31,1.16013,1.28141,1.59562,0.73558,0.75386,0.80102,0.54663,1.16089,1.02985,1.60642,0.006898,0.006898,0.006898
49,6127.93,1.14894,1.26536,1.58296,0.78129,0.71678,0.80436,0.55326,1.14853,1.01992,1.59185,0.006832,0.006832,0.006832
50,6251.77,1.14787,1.24403,1.5827,0.75841,0.74342,0.80401,0.54917,1.14597,1.00279,1.59348,0.006766,0.006766,0.006766
51,6375.62,1.14203,1.24271,1.58106,0.7836,0.72757,0.80153,0.55006,1.14827,0.99939,1.59876,0.0067,0.0067,0.0067
52,6499.43,1.13697,1.22321,1.5727,0.78117,0.73538,0.80345,0.55515,1.14461,1.01168,1.59152,0.006634,0.006634,0.006634
53,6623.46,1.13294,1.21106,1.56928,0.80833,0.72704,0.81367,0.56128,1.14006,0.98502,1.58701,0.006568,0.006568,0.006568
54,6747.54,1.135,1.20525,1.56889,0.78651,0.73102,0.80755,0.55967,1.13569,0.99238,1.58272,0.006502,0.006502,0.006502
55,6871.93,1.12379,1.19199,1.55802,0.76198,0.74958,0.80166,0.56,1.13958,1.00655,1.58514,0.006436,0.006436,0.006436
